concert_id,演唱会名称,艺人,艺人热度分,音乐风格,省份,城市,演出场馆,场馆类型,场馆容纳量,开演日期,闭演日期,演出时长(分钟),主办方,票价下限(元),票价上限(元),实际入场人数,售票状态/备注
C202600023,周深 2026年度演唱会 重庆站,周深,69,古典/流行,重庆,重庆,重庆体育中心体育场,体育场,65518,2026-05-27,2026-05-27,94,华研国际,49,240,36191,余票较多
C202200024,周深 2022年度演唱会 石家庄站,周深,53,古典/流行,河北,石家庄,石家庄体育文化中心体育馆,体育馆,4443,2022-11-28,2022-11-28,93,猫眼演出,49,66,2476,余票较多
C202600025,光良 2026全国巡演 南昌站,光良,43,抒情,江西,南昌,南昌音乐厅/演出中心,演艺中心,10323,2026-10-29,2026-10-29,89,猫眼演出,49,112,5725,余票较多
C202400026,蔡徐坤 2024世界巡回演唱会（2晚） 成都站,蔡徐坤,70,流行,四川,成都,成都体育文化中心体育馆,体育馆,19408,2024-05-18,2024-05-19,112,大麦,49,146,11720,余票较多
C202400027,唐汉霄 2024世界巡回演唱会 石家庄站,唐汉霄,54,流行/摇滚,河北,石家庄,石家庄国际会展/体育馆(演出场),体育馆,13679,2024-09-28,2024-09-28,124,猫眼演出,49,212,8846,余票较多
C202600028,赵雷 2026世界巡回演唱会 南宁站,赵雷,60,民谣,广西,南宁,南宁大剧院(演出厅),演艺中心,5842,2026-01-13,2026-01-13,103,猫眼演出,49,80,3063,上座偏低
C202200029,张杰 2022巡回演唱会 呼和浩特站,张杰,70,流行,内蒙古,呼和浩特,呼和浩特体育中心体育馆,体育馆,3423,2022-09-02,2022-09-02,142,猫眼演出,49,308,2347,余票较多
C202400030,林俊杰 2024世界巡回演唱会 青岛站,林俊杰,84,R&B,山东,青岛,青岛体育文化中心体育馆,体育馆,11225,2024-03-20,2024-03-20,107,华研国际,49,284,8608,正常
C202600031,蔡依林 2026巡回演唱会 大连站,蔡依林,86,舞曲/电子,辽宁,大连,大连体育中心体育场,体育场,46730,2026-10-26,2026-10-26,133,华纳音乐,49,135,29983,余票较多
C202400032,蔡依林 2024巡回演唱会 苏州站,蔡依林,76,流行,江苏,苏州,苏州体育文化中心体育馆,体育馆,33589,2024-08-30,2024-08-30,104,大麦,49,290,23009,余票较多
C202500033,华晨宇 2025年度演唱会 上海站,华晨宇,70,流行,上海,上海,上海国际会展/体育馆(演出场),体育馆,21437,2025-03-26,2025-03-26,112,猫眼演出,49,100,14487,余票较多
C202300034,陈奕迅 2023世界巡回演唱会 银川站,陈奕迅,77,抒情,宁夏,银川,银川大剧院(演出厅),演艺中心,1707,2023-06-08,2023-06-08,117,索尼音乐,49,158,1188,余票较多
C202300035,林俊杰 2023全新舞台演出 佛山站,林俊杰,89,R&B,广东,佛山,佛山大剧院(演出厅),演艺中心,3905,2023-03-16,2023-03-16,123,永乐票务,49,159,3064,正常
C202500036,林俊杰 2025年度演唱会 福州站,林俊杰,90,流行,福建,福州,福州国际会展/体育馆(演出场),体育馆,9453,2025-02-01,2025-02-01,126,大麦,49,119,7094,正常
C202600037,赵雷 2026巡回演唱会 厦门站,赵雷,66,民谣,福建,厦门,厦门国际体育中心体育场,体育场,26269,2026-09-20,2026-09-20,133,永乐票务,49,172,18124,余票较多
C202300038,蔡依林 2023世界巡回演唱会 青岛站,蔡依林,91,流行,山东,青岛,青岛奥体中心体育馆,体育馆,8906,2023-03-03,2023-03-03,137,大麦,49,235,6596,余票较多
C202300039,光良 2023世界巡回演唱会 郑州站,光良,43,抒情,河南,郑州,郑州奥体中心体育馆,体育馆,16432,2023-11-27,2023-11-27,105,摩登天空,49,203,9580,余票较多
C202600040,张学友 2026巡回演唱会 广州站,张学友,84,经典,广东,广州,广州艺术中心大剧场,演艺中心,14529,2026-04-03,2026-04-03,112,华研国际,49,278,11358,正常
C202200041,蔡徐坤 2022年度演唱会 兰州站,蔡徐坤,68,舞曲/电子,甘肃,兰州,兰州音乐厅/演出中心,演艺中心,2966,2022-06-14,2022-06-14,123,环球音乐,49,256,2156,余票较多
C202200042,王菲 2022世界巡回演唱会 太原站,王菲,80,流行,山西,太原,太原演艺中心,演艺中心,4707,2022-08-18,2022-08-18,142,猫眼演出,49,59,3375,余票较多
C202200043,张杰 2022世界巡回演唱会 大连站,张杰,72,抒情,辽宁,大连,大连体育馆,体育馆,12063,2022-07-03,2022-07-03,115,猫眼演出,49,239,8025,余票较多
C202600044,华晨宇 2026年度演唱会 苏州站,华晨宇,67,流行,江苏,苏州,苏州奥体中心体育馆,体育馆,41298,2026-09-05,2026-09-05,120,猫眼演出,49,250,31001,正常
C202600045,刘若英(奶茶) 2026全国巡演 佛山站,刘若英(奶茶),65,抒情,广东,佛山,佛山体育馆,体育馆,5123,2026-05-30,2026-05-30,115,索尼音乐,49,92,3613,余票较多
C202600046,邓紫棋 2026年度演唱会 苏州站,邓紫棋,74,摇滚,江苏,苏州,苏州体育中心体育馆,体育馆,15623,2026-12-11,2026-12-11,109,杰克音乐,49,175,10078,余票较多
C202600047,刘若英(奶茶) 2026巡回演唱会 重庆站,刘若英(奶茶),63,经典,重庆,重庆,重庆演艺中心,演艺中心,16743,2026-05-11,2026-05-11,128,猫眼演出,49,188,10198,余票较多
C202200048,刘若英(奶茶) 2022全新舞台演出（2晚） 杭州站,刘若英(奶茶),72,抒情,浙江,杭州,杭州奥体中心体育馆,体育馆,32152,2022-01-26,2022-01-27,99,华研国际,49,60,18571,余票较多
C202500049,蔡徐坤 2025特别呈现演唱会 济南站,蔡徐坤,70,流行,山东,济南,济南奥体中心体育馆,体育馆,19314,2025-11-22,2025-11-22,114,摩登天空,49,268,14904,正常
C202400050,张杰 2024世界巡回演唱会 贵阳站,张杰,82,流行,贵州,贵阳,贵阳体育文化中心体育馆,体育馆,29712,2024-01-27,2024-01-27,124,摩登天空,49,149,22462,正常
C202300051,光良 2023巡回演唱会 郑州站,光良,51,抒情,河南,郑州,郑州国际会展/体育馆(演出场),体育馆,19595,2023-08-29,2023-08-29,109,猫眼演出,49,231,12586,余票较多
C202400052,光良 2024全新舞台演出 长春站,光良,65,抒情,吉林,长春,长春音乐厅/演出中心,演艺中心,4743,2024-11-16,2024-11-16,108,猫眼演出,49,188,3492,余票较多
C202600053,刘德华 2026世界巡回演唱会 重庆站,刘德华,93,流行,重庆,重庆,重庆体育文化中心体育馆,体育馆,15231,2026-02-12,2026-02-12,116,华研国际,49,184,10834,余票较多
C202500054,张靓颖 2025特别呈现演唱会 南宁站,张靓颖,59,流行,广西,南宁,南宁音乐厅/演出中心,演艺中心,2280,2025-02-02,2025-02-02,107,杰克音乐,49,122,1464,余票较多
C202600055,刘德华 2026世界巡回演唱会（2晚） 呼和浩特站,刘德华,89,抒情,内蒙古,呼和浩特,呼和浩特大剧院(演出厅),演艺中心,4765,2026-06-09,2026-06-10,109,现场娱乐(主办合作),49,203,3810,正常
C202600056,薛之谦 2026全国巡演 南宁站,薛之谦,90,流行,广西,南宁,南宁奥体中心体育馆,体育馆,4221,2026-12-02,2026-12-02,133,环球音乐,49,199,3260,正常
C202300057,光良 2023年度演唱会（2晚） 苏州站,光良,51,抒情,江苏,苏州,苏州音乐厅/演出中心,演艺中心,11498,2023-02-28,2023-03-01,110,摩登天空,49,182,5691,上座偏低
C202600058,唐汉霄 2026年度演唱会 长春站,唐汉霄,47,流行/摇滚,吉林,长春,长春体育中心体育馆,体育馆,8074,2026-04-21,2026-04-21,125,大麦,49,270,4512,余票较多
C202400059,五月天 2024世界巡回演唱会 南昌站,五月天,91,流行摇滚,江西,南昌,南昌奥体中心体育馆,体育馆,17620,2024-06-20,2024-06-20,140,摩登天空,49,128,14516,正常
C202300060,华晨宇 2023世界巡回演唱会 兰州站,华晨宇,74,摇滚/实验,甘肃,兰州,兰州国际会展/体育馆(演出场),体育馆,4521,2023-08-16,2023-08-16,127,华研国际,49,219,2780,余票较多
C202400061,林俊杰 2024巡回演唱会 兰州站,林俊杰,83,R&B,甘肃,兰州,兰州大剧院(演出厅),演艺中心,4076,2024-07-12,2024-07-12,130,大麦,49,170,2707,余票较多
C202400062,刘德华 2024巡回演唱会 上海站,刘德华,79,抒情,上海,上海,上海体育馆,体育馆,30900,2024-01-09,2024-01-09,109,大麦,49,156,19999,余票较多
C202400063,GAI周延 2024世界巡回演唱会 昆明站,GAI周延,68,嘻哈,云南,昆明,昆明体育馆,体育馆,12078,2024-09-19,2024-09-19,130,永乐票务,49,114,7104,余票较多
C202500064,陈奕迅 2025全新舞台演出（2晚） 武汉站,陈奕迅,80,抒情,湖北,武汉,武汉奥体中心体育场,体育场,66430,2025-07-10,2025-07-11,114,猫眼演出,49,75,36338,上座偏低
C202400065,薛之谦 2024世界巡回演唱会 长春站,薛之谦,75,流行,吉林,长春,长春奥体中心体育馆,体育馆,8792,2024-02-28,2024-02-28,129,杰克音乐,49,142,5738,余票较多
C202200066,刘若英(奶茶) 2022巡回演唱会 南宁站,刘若英(奶茶),82,经典,广西,南宁,南宁音乐厅/演出中心,演艺中心,5368,2022-06-04,2022-06-04,136,大麦,49,115,4215,正常
C202300067,蔡徐坤 2023年度演唱会 苏州站,蔡徐坤,84,舞曲/电子,江苏,苏州,苏州体育中心体育场,体育场,40192,2023-03-05,2023-03-05,115,摩登天空,49,262,26408,余票较多
C202500068,张靓颖 2025全国巡演 南昌站,张靓颖,54,流行,江西,南昌,南昌体育文化中心体育馆,体育馆,8756,2025-08-26,2025-08-26,104,大麦,49,204,5292,余票较多
C202300069,张靓颖 2023全新舞台演出 广州站,张靓颖,57,抒情,广东,广州,广州体育中心体育馆,体育馆,36515,2023-05-16,2023-05-16,115,杰克音乐,49,125,21109,余票较多
C202500070,刘若英(奶茶) 2025特别呈现演唱会 哈尔滨站,刘若英(奶茶),57,经典,黑龙江,哈尔滨,哈尔滨体育馆,体育馆,11627,2025-09-22,2025-09-22,113,索尼音乐,49,140,7335,余票较多
C202500071,张杰 2025年度演唱会 苏州站,张杰,67,流行,江苏,苏州,苏州音乐厅/演出中心,演艺中心,8717,2025-02-23,2025-02-23,129,索尼音乐,49,270,5720,余票较多
C202400072,毛不易 2024全新舞台演出 哈尔滨站,毛不易,52,民谣/流行,黑龙江,哈尔滨,哈尔滨国际会展/体育馆(演出场),体育馆,28125,2024-12-16,2024-12-16,122,索尼音乐,49,183,14193,上座偏低
C202600073,张杰 2026巡回演唱会 苏州站,张杰,64,流行,江苏,苏州,苏州奥体中心体育场,体育场,76748,2026-10-06,2026-10-06,109,环球音乐,49,245,42992,余票较多
C202500074,刘若英(奶茶) 2025世界巡回演唱会 郑州站,刘若英(奶茶),76,经典,河南,郑州,郑州国际会展/体育馆(演出场),体育馆,27975,2025-06-10,2025-06-10,94,大麦,49,273,19078,余票较多
C202400075,蔡依林 2024特别呈现演唱会（2晚） 武汉站,蔡依林,81,舞曲/电子,湖北,武汉,武汉奥体中心体育场,体育场,71958,2024-06-17,2024-06-18,108,摩登天空,49,59,42297,余票较多
C202400076,邓紫棋 2024年度演唱会 昆明站,邓紫棋,94,流行,云南,昆明,昆明音乐厅/演出中心,演艺中心,3630,2024-11-16,2024-11-16,129,华研国际,49,226,2858,正常
C202600077,林俊杰 2026年度演唱会 深圳站,林俊杰,87,流行,广东,深圳,深圳体育场,体育场,63996,2026-06-04,2026-06-04,126,大麦,49,146,44306,余票较多
C202600078,薛之谦 2026全新舞台演出 哈尔滨站,薛之谦,78,流行,黑龙江,哈尔滨,哈尔滨体育场,体育场,35647,2026-09-17,2026-09-17,107,环球音乐,49,59,22565,余票较多
C202400079,张靓颖 2024巡回演唱会 昆明站,张靓颖,70,抒情,云南,昆明,昆明体育中心体育馆,体育馆,12744,2024-10-06,2024-10-06,99,现场娱乐(主办合作),49,185,10177,正常
C202600080,光良 2026全新舞台演出 厦门站,光良,65,抒情,福建,厦门,厦门体育文化中心体育馆,体育馆,29572,2026-06-02,2026-06-02,109,永乐票务,49,64,18456,余票较多
C202600081,周深 2026年度演唱会 西宁站,周深,47,古典/流行,青海,西宁,西宁大剧院(演出厅),演艺中心,2496,2026-04-03,2026-04-03,118,杰克音乐,49,59,1450,余票较多
C202600082,刘德华 2026全国巡演 广州站,刘德华,87,流行,广东,广州,广州体育中心体育馆,体育馆,40836,2026-12-09,2026-12-09,109,大麦,49,234,25676,余票较多
C202500083,赵雷 2025世界巡回演唱会 大连站,赵雷,50,民谣,辽宁,大连,大连音乐厅/演出中心,演艺中心,4985,2025-12-02,2025-12-02,120,永乐票务,49,187,3188,余票较多
C202400084,林俊杰 2024巡回演唱会 石家庄站,林俊杰,87,流行,河北,石家庄,石家庄大剧院(演出厅),演艺中心,1766,2024-08-07,2024-08-07,106,橙天嘉禾,49,199,1445,正常
C202400085,赵雷 2024年度演唱会 贵阳站,赵雷,60,民谣,贵州,贵阳,贵阳奥体中心体育馆,体育馆,16550,2024-11-28,2024-11-28,111,环球音乐,49,259,10512,余票较多
C202400086,邓紫棋 2024世界巡回演唱会 南京站,邓紫棋,74,摇滚,江苏,南京,南京体育馆,体育馆,16490,2024-06-23,2024-06-23,120,摩登天空,49,257,13068,正常
C202600087,张杰 2026巡回演唱会 长沙站,张杰,77,抒情,湖南,长沙,长沙奥体中心体育馆,体育馆,9488,2026-11-02,2026-11-02,101,摩登天空,49,250,6003,余票较多
C202300088,薛之谦 2023全新舞台演出 厦门站,薛之谦,87,民谣/流行,福建,厦门,厦门体育中心体育馆,体育馆,9052,2023-07-19,2023-07-19,116,大麦,49,257,7088,正常
C202600089,王嘉尔 2026年度演唱会 呼和浩特站,王嘉尔,62,舞曲/电子,内蒙古,呼和浩特,呼和浩特演艺中心,演艺中心,1564,2026-04-10,2026-04-10,106,摩登天空,49,110,1030,余票较多
C202400090,王菲 2024全国巡演 贵阳站,王菲,85,流行,贵州,贵阳,贵阳演艺中心,演艺中心,3596,2024-07-04,2024-07-04,102,华研国际,49,122,2492,余票较多
C202600091,薛之谦 2026全国巡演 南昌站,薛之谦,78,流行,江西,南昌,南昌国际会展/体育馆(演出场),体育馆,9875,2026-06-29,2026-06-29,130,大麦,49,106,7754,正常
C202400092,毛不易 2024年度演唱会（2晚） 杭州站,毛不易,48,民谣/流行,浙江,杭州,杭州体育馆,体育馆,39548,2024-09-12,2024-09-13,120,环球音乐,49,179,20579,上座偏低
C202300093,林俊杰 2023年度演唱会 昆明站,林俊杰,93,流行,云南,昆明,昆明奥体中心体育馆,体育馆,12971,2023-03-17,2023-03-17,124,摩登天空,49,193,8938,余票较多
C202600094,薛之谦 2026巡回演唱会 厦门站,薛之谦,92,流行,福建,厦门,厦门体育馆,体育馆,15642,2026-07-23,2026-07-23,117,索尼音乐,49,253,11589,余票较多
C202300095,华晨宇 2023世界巡回演唱会 沈阳站,华晨宇,95,摇滚/实验,辽宁,沈阳,沈阳国际会展/体育馆(演出场),体育馆,17300,2023-07-24,2023-07-24,123,摩登天空,49,120,14450,正常
C202200096,陈奕迅 2022全国巡演 乌鲁木齐站,陈奕迅,78,流行,新疆,乌鲁木齐,乌鲁木齐大剧院(演出厅),演艺中心,4160,2022-09-17,2022-09-17,118,猫眼演出,49,236,3234,正常
C202600097,李荣浩 2026年度演唱会 乌鲁木齐站,李荣浩,54,民谣,新疆,乌鲁木齐,乌鲁木齐奥体中心体育馆,体育馆,4461,2026-04-10,2026-04-10,106,索尼音乐,49,283,2793,余票较多
C202400098,汪苏泷 2024巡回演唱会 贵阳站,汪苏泷,78,流行,贵州,贵阳,贵阳音乐厅/演出中心,演艺中心,9153,2024-01-31,2024-01-31,112,橙天嘉禾,49,149,6056,余票较多
C202200099,张靓颖 2022全新舞台演出 宁波站,张靓颖,62,抒情,浙江,宁波,宁波国际会展/体育馆(演出场),体育馆,4364,2022-06-23,2022-06-23,111,华纳音乐,49,172,2496,余票较多
C202600100,GAI周延 2026年度演唱会 深圳站,GAI周延,64,嘻哈,广东,深圳,深圳大剧院(演出厅),演艺中心,6682,2026-04-24,2026-04-24,128,现场娱乐(主办合作),49,238,4730,余票较多
C202200101,蔡依林 2022全新舞台演出 广州站,蔡依林,96,舞曲/电子,广东,广州,广州体育场,体育场,59846,2022-11-11,2022-11-11,123,环球音乐,49,118,41389,余票较多
C202300102,毛不易 2023巡回演唱会 昆明站,毛不易,60,民谣/流行,云南,昆明,昆明艺术中心大剧场,演艺中心,6591,2023-03-28,2023-03-28,116,摩登天空,49,244,3980,余票较多
C202200103,邓紫棋 2022巡回演唱会 昆明站,邓紫棋,76,流行,云南,昆明,昆明奥体中心体育馆,体育馆,20799,2022-04-12,2022-04-12,121,索尼音乐,49,267,12787,余票较多
C202500104,周深 2025全国巡演 沈阳站,周深,63,跨界,辽宁,沈阳,沈阳音乐厅/演出中心,演艺中心,5821,2025-09-20,2025-09-20,131,杰克音乐,49,270,4393,正常
C202600105,蔡徐坤 2026年度演唱会（2晚） 武汉站,蔡徐坤,67,舞曲/电子,湖北,武汉,武汉体育场,体育场,58708,2026-03-18,2026-03-19,118,环球音乐,49,131,29704,上座偏低
C202200106,华晨宇 2022巡回演唱会（2晚） 厦门站,华晨宇,88,摇滚/实验,福建,厦门,厦门体育中心体育馆,体育馆,13501,2022-09-19,2022-09-20,129,猫眼演出,49,218,9604,余票较多
C202500107,毛不易 2025全国巡演 哈尔滨站,毛不易,57,民谣/流行,黑龙江,哈尔滨,哈尔滨艺术中心大剧场,演艺中心,5098,2025-05-22,2025-05-22,92,大麦,49,200,2656,上座偏低
C202300108,GAI周延 2023巡回演唱会 佛山站,GAI周延,77,嘻哈,广东,佛山,佛山体育文化中心体育馆,体育馆,5524,2023-04-12,2023-04-12,118,橙天嘉禾,49,217,4172,正常
C202500109,五月天 2025全国巡演 深圳站,五月天,87,流行摇滚,广东,深圳,深圳体育中心体育场,体育场,36493,2025-04-07,2025-04-07,119,华研国际,49,235,22194,余票较多
C202200110,陈奕迅 2022全新舞台演出 宁波站,陈奕迅,98,抒情,浙江,宁波,宁波国际会展/体育馆(演出场),体育馆,4866,2022-07-19,2022-07-19,105,永乐票务,49,190,4001,正常
C202400111,刘德华 2024特别呈现演唱会 佛山站,刘德华,88,流行,广东,佛山,佛山体育馆,体育馆,11770,2024-10-05,2024-10-05,124,猫眼演出,49,71,9468,正常
C202600112,张杰 2026巡回演唱会（2晚） 郑州站,张杰,87,抒情,河南,郑州,郑州奥体中心体育场,体育场,30268,2026-07-28,2026-07-29,124,橙天嘉禾,49,169,20825,余票较多
C202500113,GAI周延 2025全新舞台演出 大连站,GAI周延,66,嘻哈,辽宁,大连,大连体育文化中心体育馆,体育馆,20280,2025-11-18,2025-11-18,103,摩登天空,49,249,12520,余票较多
C202300114,唐汉霄 2023全新舞台演出 南昌站,唐汉霄,49,流行/摇滚,江西,南昌,南昌国际会展/体育馆(演出场),体育馆,16827,2023-09-01,2023-09-01,131,华纳音乐,49,125,9847,余票较多
C202400115,赵雷 2024巡回演唱会 西宁站,赵雷,54,民谣,青海,西宁,西宁体育文化中心体育馆,体育馆,9757,2024-03-24,2024-03-24,137,大麦,49,256,6926,余票较多
C202600116,周杰伦 2026年度演唱会 成都站,周杰伦,99,嘻哈,四川,成都,成都体育馆,体育馆,15151,2026-06-02,2026-06-02,140,大麦,49,154,13161,正常
C202200117,张学友 2022特别呈现演唱会 兰州站,张学友,81,抒情,甘肃,兰州,兰州音乐厅/演出中心,演艺中心,5295,2022-11-17,2022-11-17,115,永乐票务,49,131,3648,余票较多
C202600118,陈奕迅 2026巡回演唱会（2晚） 广州站,陈奕迅,81,流行,广东,广州,广州奥体中心体育场,体育场,50076,2026-06-21,2026-06-22,100,摩登天空,49,114,33855,余票较多
C202400119,张杰 2024世界巡回演唱会 广州站,张杰,83,流行,广东,广州,广州艺术中心大剧场,演艺中心,13678,2024-11-19,2024-11-19,111,环球音乐,49,211,10331,正常
C202300120,汪苏泷 2023世界巡回演唱会 佛山站,汪苏泷,52,电子/流行,广东,佛山,佛山体育文化中心体育馆,体育馆,10122,2023-09-23,2023-09-23,112,环球音乐,49,171,7249,余票较多
C202500121,唐汉霄 2025巡回演唱会 银川站,唐汉霄,60,流行/摇滚,宁夏,银川,银川体育馆,体育馆,5319,2025-06-22,2025-06-22,126,永乐票务,49,71,3875,余票较多
C202200122,邓紫棋 2022巡回演唱会 厦门站,邓紫棋,78,摇滚,福建,厦门,厦门体育文化中心体育馆,体育馆,21884,2022-02-06,2022-02-06,128,环球音乐,49,201,15950,余票较多
C202500123,刘德华 2025年度演唱会 大连站,刘德华,91,抒情,辽宁,大连,大连体育馆,体育馆,10010,2025-03-09,2025-03-09,100,现场娱乐(主办合作),49,169,7476,余票较多
C202600124,张靓颖 2026世界巡回演唱会 北京站,张靓颖,63,流行,北京,北京,北京演艺中心,演艺中心,8951,2026-05-28,2026-05-28,119,现场娱乐(主办合作),49,90,5980,余票较多
C202400125,刘若英(奶茶) 2024特别呈现演唱会 西宁站,刘若英(奶茶),79,抒情,青海,西宁,西宁音乐厅/演出中心,演艺中心,4435,2024-05-27,2024-05-27,113,大麦,49,202,3343,正常
C202500126,陈奕迅 2025年度演唱会 成都站,陈奕迅,89,流行,四川,成都,成都国际会展/体育馆(演出场),体育馆,35951,2025-08-05,2025-08-05,100,摩登天空,49,244,28056,正常
C202600127,蔡依林 2026世界巡回演唱会 哈尔滨站,蔡依林,80,流行,黑龙江,哈尔滨,哈尔滨体育文化中心体育馆,体育馆,23409,2026-08-03,2026-08-03,106,杰克音乐,49,214,17399,余票较多
C202600128,光良 2026特别呈现演唱会 沈阳站,光良,62,抒情,辽宁,沈阳,沈阳国际会展/体育馆(演出场),体育馆,15882,2026-08-08,2026-08-08,118,大麦,49,59,11718,余票较多
C202600129,林俊杰 2026特别呈现演唱会（2晚） 厦门站,林俊杰,91,流行,福建,厦门,厦门体育中心体育馆,体育馆,22557,2026-06-16,2026-06-17,117,杰克音乐,49,245,15687,余票较多
C202500130,陈奕迅 2025全新舞台演出 兰州站,陈奕迅,88,流行,甘肃,兰州,兰州演艺中心,演艺中心,2069,2025-08-06,2025-08-06,123,索尼音乐,49,156,1371,余票较多
C202500131,光良 2025全国巡演 佛山站,光良,62,抒情,广东,佛山,佛山体育馆,体育馆,5070,2025-02-22,2025-02-22,117,华纳音乐,49,145,3455,余票较多
C202300132,李荣浩 2023特别呈现演唱会 重庆站,李荣浩,60,流行,重庆,重庆,重庆体育文化中心体育馆,体育馆,21160,2023-05-06,2023-05-06,131,华研国际,49,161,13281,余票较多
C202200133,薛之谦 2022巡回演唱会（2晚） 长沙站,薛之谦,84,民谣/流行,湖南,长沙,长沙国际会展/体育馆(演出场),体育馆,14520,2022-10-31,2022-11-01,125,华纳音乐,49,172,11156,正常
C202500134,周杰伦 2025年度演唱会 合肥站,周杰伦,95,R&B,安徽,合肥,合肥体育馆,体育馆,11716,2025-07-25,2025-07-25,111,索尼音乐,49,235,9261,正常
C202500135,陈奕迅 2025全新舞台演出 大连站,陈奕迅,77,流行,辽宁,大连,大连体育馆,体育馆,29973,2025-04-28,2025-04-28,125,永乐票务,49,227,23277,正常
